Word,Frequency,Impact_Value
build sheet,566.9330546741757,4984.929019379452
built,222.33790312674424,22641.76487563754
bulb,81.22834618516235,-2115.8320566563916
bulb replaced,57.66667919168308,-692.4941691245865
bulbs,92.58589960917664,-9013.495827956156
bumper,616.7477597225314,-9699.612077511072
bumper curb,65.22202726712248,-394.95113061615154
bumper hood,68.54357216174091,-509.5850682254752
bumper repainted,62.844140607000746,3606.489240185275
bumper scratches,94.50827139545615,-2206.323967113295
bumpers,157.23847275646386,-4563.649151263982
bushings,160.42853733641655,-1753.1922857460156
button,124.34932948397017,-4965.160601106846
buyer,298.1595249782749,12536.443824886554
buyer responsibility,269.80273023439645,6267.000044528713
buyers,120.55315441330664,-5648.011688755711
cabin,273.159531073343,6028.060918773987
cabin filter,209.91363607592226,-2328.08708954173
cable,91.06520657027494,5061.63802245969
calipers,238.58417281309713,26800.401763006943
called,265.50288543332067,-15357.756386094807
called internally,97.07744871350097,-16447.963756201065
cam,75.12763309916502,-2987.171619601151
came,156.49900962861147,-13459.63189827531
came equipped,98.58331669103222,-4053.2153270235076
camera,320.87754324755423,8826.922358289172
camshaft,79.29071720389634,1536.010955609337
cap,160.42587881309464,16.600904800693574
capabilities,62.48612459195226,11270.526373818639
capability,85.57493032709527,-881.1518689057958
capable,88.67846517125139,7337.339412940847
caps,175.06771241202512,-12568.723708162872
carbon,593.2767721710956,98589.1024966969
carbon fiber,507.9690427676938,3858.559150317813
card,71.68009435049944,925.9831409420399
carfax,1082.2402953686328,-3732.589540341685
carfax accidents,179.65846160495533,9284.938914678933
carfax acquired,66.852129302669,-1358.9056523987465
carfax contains,107.57152745413958,2220.498709089477
carfax following,309.4550454341851,6752.661105038303
carfax indicates,323.0847697903579,-2975.783911033601
carfax lists,250.5128083493946,5567.11817226405
carfax mileage,91.32758094816626,-7702.318108374442
carfax notes,108.48082735629794,-4817.914469863039
carfax purchased,242.32192446458825,-7483.13356953705
carfax representing,65.06538559062066,-2570.8800582219487
carfax selling,167.63275930368212,-9417.855883792336
carfax vehicle,295.76357756687725,-5004.995542869555
carolina,71.39414452465233,-7257.438048841108
carpet,109.35712714998972,-4488.904344497438
carpeted,69.35093817742008,-3030.435497195026
carpeted floor,57.861239593340464,-1545.5251150526387
carplay,180.29813661158113,-286.3137861651159
carplay android,105.91001674942422,-8123.684602844778
carried,77.09869729366814,10756.74689294415
cars,236.03408701235597,10372.269243708342
cars bids,122.06612668089844,-2753.610869282089
case,282.39969448523493,5893.667860276341
case build,59.12957398314538,3679.87179063187
cassette,217.26210172788905,-9597.870189257259
cassette player,107.92517536409166,-7025.1172280063
cat,141.57115320262832,-1360.676709647019
cat exhaust,126.40821821102438,-1706.993676505046
catalytic,127.92020693245216,-145.06383548227973
catalytic converter,76.41061380929102,-3807.1596998976675
catalytic converters,72.48171901201975,4307.37343594809
cd,368.15019066344246,-7950.183261726979
cd changer,184.18119592259563,1036.346337977611
cd player,199.78509649749114,-31.00353848943294
celebrated,58.18093488762713,-1161.6749351099243
center,447.55302833243456,6602.284723059282
center caps,75.93816831762774,-1218.2188809733393
center console,227.86292056313823,-5471.90079924287
center differential,150.99019284660346,-15039.098438481018
ceramic,190.64584518353547,101355.57160471502
ceramic coating,71.84129825082924,-15308.219296120076
chain,66.23319670342046,-417.7623595185215
change,219.76838319571164,-13090.544136410334
change performed,66.94031854147408,-6413.218889322577
changed,1173.820231756015,-6335.734937642159
changed 2021,55.79415170376997,756.6694804847008
changed 2022,62.32413420139374,-9803.697749639708
changed 2023,54.350410536904505,-4126.157987731657
changed additional,154.67112129385674,-8200.779633889619
changed april,105.70450121741875,3387.5779777525413
changed august,111.14643591563623,-3325.6454115087217
changed battery,58.221364887035605,2111.2433714787553
changed brake,145.97342141586083,8541.45444359049
changed cabin,67.00048909304849,-3398.941405933039
changed carfax,55.96439155076476,-5159.665184335098
changed coolant,56.28222964626828,994.7874577010354
changed december,93.22238869367813,-4039.581514614559
changed engine,123.81364017089444,3264.6175268536504
changed february,92.89370466569461,-1017.3646614145246
changed filter,54.59260837187524,-1565.5655552190026
changed following,76.18856339624708,3533.1711550082186
changed january,102.8529299860851,-3922.5877963111384
changed july,107.92321669655918,-4593.7132891683
changed june,107.93991986068701,-2894.9549851880583
changed november,101.17624511384777,-263.082415244011
changed october,104.8610161169002,-7494.125425122226
changed purchased,75.63222332443435,-2250.523796111671
changed rear,63.32328216444334,-1807.7933972509095
changed selling,77.85355274590195,-208.81935596621452
changed september,104.65923795067928,-273.199849263015
changed spark,64.47237840584845,6482.984364820958
changed tires,184.3073990684716,-1736.9521422935175
changed transmission,65.16781547420548,7317.048993241689
changer,188.41060234315293,-2588.2929689381767
changes,109.76043308046197,11849.003871576344
charcoal,66.81217566254047,-16138.971560027463
charge,65.88528805744805,-214.7318120987725
charging,112.38467582521127,9588.42703535842
chassis,166.45667437799207,16719.715082617517
check,108.47557231654113,-4455.265014185028
checked,260.89400951953013,-2116.8771685045785
chip,142.28142788320713,130.96458478998113
chip windshield,60.71636360849762,-2273.8888942470217
chips,515.7131391680246,-27470.215178614377
chips bumper,94.63904305668524,-3054.5662542217915
chips dings,75.46447817455189,-4177.178351652911
chips end,178.68465550729738,-11403.769952550487
chips exterior,109.87193445141351,-12886.394372910163
chips forward,61.94697273271778,-1126.6566611328
chips hood,90.64200309122342,-1483.0771046475547
chips scratches,299.7418675074162,-16302.866628861864
chips scuffs,58.666726145655865,-3667.5992965357805
chrome,200.2981796091343,-13366.624194130296
chrono,100.47229960479794,27557.20072642257
chrono package,83.27154295072614,20546.367594248586
cleaned,135.88222841689887,4729.951397622311
clear,171.03829190799505,16421.246103106885
clear coat,69.69971594928455,-8906.8742531084
clearcoat,63.48790944680526,-8784.439759504954
climate,581.7947472725488,1122.1510272785129
climate control,552.3783234477031,2455.7675958739046
close,107.64155374469051,-4182.98077921136
close doors,68.33400141972277,-2932.1194790477784
closely,62.10177748841906,1399.8521412945868
closely related,60.33861639432641,896.8147423428219
cloth,407.2221090379242,-26235.23783631435
cloth upholstery,364.6573986170317,-15844.20111654876
cluster,309.02417433303333,1104.0339390556776
cluster odometer,139.46377647763003,-7033.387309595478
clutch,318.2158223496006,17939.971034485618
clutch automatic,81.18337063779418,35006.60186335034
clutch kit,54.26094211884117,-3216.5105175323674
coat,86.2965440536711,-16141.775280234877
coated,87.23497630287358,-7881.746138893052
coating,96.15752733051163,-16162.693725171108
coating applied,62.849976674422415,-6578.357010130548
cobb,81.17499067916702,-3535.886099062567
cobb tuning,59.410514110949926,533.3261579818851
code,124.39380438257568,-3492.2553774328007
code tires,76.19687898048868,3603.576839446583
codes,250.23746562278066,-4111.329674987075
codes tires,197.5255757556201,3500.0709941950468
coil,110.86935672881798,-6037.683481426296
coilover,80.6193157026407,8461.296365535367
coilover suspension,66.83272249628328,5340.112357444006
coilovers,158.87985476650633,-8397.425030478655
coils,70.77413926555957,-5088.465544522874
cold,235.0286411142688,-5253.238365534784
cold intake,108.63590292989457,-5095.542856867642
cold weather,143.0715067325001,848.2762118273066
collect,83.24008121350451,-3834.9032974050415
collision,121.39766147782127,-8968.225333399429
color,158.31080031449022,-1642.5343315488608
colored,130.80006941061868,935.6724671069957
column,130.513147161631,-2553.616712772096
comand,59.44322908545482,-2604.725598529088
comes,500.9385785492109,-1123.6624489333065
comes liter,444.9904117918974,3150.9011481712205
comfort,245.57307058410822,-7976.377550292554
comfort access,96.73273992887526,-4748.105259234858
compact,87.19653704135851,-13797.93771887291
company,72.56844556177101,7577.164242024686
compartment,63.871626462421005,15957.150266551856
compass,82.2479946327658,4160.218807458258
compatibility,124.25683876042176,15546.034401765688
competition,101.23921456822774,-6587.1923524336835
completed,300.1999694247172,269.9594208975088
completed engine,61.66916432162789,-3084.9124677846953
components,342.5444680288221,-14561.599178361555
components carfax,79.65729964347241,1181.3863656258657
components service,111.74289926499331,-6430.325788087378
compressor,135.31458662645898,11123.034769023741
computer,119.9493377572133,-7246.025576765374
condition,72.4954868990286,-5367.929135543053
condition pressure,59.68211235541884,-2747.499124942257
conditioning,593.2077321778647,-1046.251684551969
conditioning cruise,180.09707312272323,-2838.982906593679
conditioning modifications,130.73368508875532,10844.940684998723
configurations,68.41798438503659,-338.40446784633605
confirm,137.59114243056575,1488.127905119692
confirm output,117.69302608289611,-4326.736462375645
confirms,141.15895174619627,-3135.398887650282
confirms owner,64.26485900424525,-444.94348249901566
confirms registered,67.02551841168304,-4372.472445358919
connectivity,171.13412995168096,-12445.46081179279
console,249.752022758511,-539.2693210604665
construction,63.15191871550948,17585.420575851353
contact,249.00047997998388,3092.19971182856
contact directly,214.4178558623827,-2150.012886173126
contains,161.770433799788,-3776.684265926226
contains gaps,75.29816924995319,3486.9484075654623
contains multiple,60.94961258420581,-1386.674850222047
continued,59.57047530652394,-2914.206801792832
control,1052.965588291709,-19754.965590218766
control arm,75.15369003567307,-1428.0040210494253
control arms,115.79644648488765,-4133.880162319419
control bose,90.11297218690814,-4812.64331149277
control cruise,153.44217439732967,-1252.6060664442323
control detailed,80.87180330862557,-2476.795366483536
control harman,74.06739125849026,4553.618855939125
control modifications,258.00075628225585,1500.5524567789569
control navigation,86.96396662051376,-755.5485648745365
control pdc,73.29466504738058,-3311.664060508181
control rear,101.05198102927115,-2663.859617090112
controlled,72.06542511090731,278.4400490643382
controller,101.37900253031847,2915.0588069770765
