URL,Sold_Price,Make,Model,Mileage,Title Status,Seller Type,Engine,Drivetrain,Transmission,Body Style,Exterior Color,Interior Color
https://carsandbids.com/auctions/36y5zRkO/2019-chevrolet-corvette-grand-sport-coupe,"$43,500",Chevrolet,"C7 Corvette
Save","23,100",Clean (NC),Private Party,6.2L V8,Rear-wheel drive,Manual (7-Speed),Coupe,Black,Jet Black
https://carsandbids.com/auctions/3ylRnvDp/1988-jeep-wrangler-laredo-4x4,"$8,400",Jeep,"Wrangler
Save","53,700",Clean (CA),Private Party,4.2L I6,4WD/AWD,Manual (5-Speed),SUV/Crossover,Classic Black,Tan
https://carsandbids.com/auctions/rb0aEwWw/2006-mitsubishi-lancer-evolution-ix-mr,"$18,250",Mitsubishi,"Lancer Evolution
Save","50,200",Rebuilt Salvage (NY),Private Party,2.0L Turbocharged I4,4WD/AWD,Manual (6-Speed),Sedan,Apex Silver,Black
https://carsandbids.com/auctions/rNBDGj07/2018-mercedes-amg-g63,"$36,750",Mercedes-Benz,"G Wagen
Save","114,400",Clean (MT),Private Party,5.5L Turbocharged V8,4WD/AWD,Automatic (7-Speed),SUV/Crossover,Polar White,Black
https://carsandbids.com/auctions/9l0Z6X5N/2018-alfa-romeo-giulia-quadrifoglio,"$37,000",Alfa Romeo,"Giulia
Save","44,800",Clean (CA),Private Party,2.9L Turbocharged V6,Rear-wheel drive,Automatic (8-Speed),Sedan,Vulcano Black Metallic,Black/Red
https://carsandbids.com/auctions/92pEnweb/2013-lexus-lx-570,"$25,600",Lexus,"LX
Save","135,200",Clean (GA),Private Party,5.7L V8,4WD/AWD,Automatic (6-Speed),SUV/Crossover,Mercury Metallic,Parchment
https://carsandbids.com/auctions/rxMZ87E6/2023-toyota-supra-30-premium,"$50,000",Toyota,"Supra
Save","8,100",Clean (TN),Private Party,3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Black Metallic,Black
https://carsandbids.com/auctions/98VqDR40/2007-chevrolet-corvette-coupe,"$18,600",Chevrolet,"C6 Corvette
Save","73,100",Clean (TX),Private Party,6.0L V8,Rear-wheel drive,Manual (6-Speed),Coupe,Victory Red,Ebony
https://carsandbids.com/auctions/3gYmDnP1/2017-porsche-cayenne-s-e-hybrid-platinum-edition,"$20,000",Porsche,"Cayenne
Save","90,000",Clean (IL),Dealer,3.0L Supercharged Hybrid V6,4WD/AWD,Automatic (8-Speed),SUV/Crossover,White,Agate Gray
https://carsandbids.com/auctions/9lb8AxDZ/2016-hyundai-equus-ultimate,"$21,249",Hyundai,"Equus
Save","35,600",Clean (AZ),Dealer,5.0L V8,Rear-wheel drive,Automatic (8-Speed),Sedan,Caspian Black,Black
https://carsandbids.com/auctions/K1yxYmRx/2013-toyota-tacoma-trd-t-x-baja-series-double-cab-4x4,"$23,000",Toyota,"Tacoma
Save","80,000",Clean (AL),Private Party,4.0L Supercharged V6,4WD/AWD,Automatic (5-Speed),Truck,Black Sand Pearl,Graphite
https://carsandbids.com/auctions/KmABEVMl/2011-mercedes-benz-s600,"$16,550",Mercedes-Benz,"S-Class
Save","78,600",Clean (AR),Dealer,5.5L Turbocharged V12,Rear-wheel drive,Automatic (5-Speed),Sedan,Diamond White Metallic,Cashmere/Savanna Beige
https://carsandbids.com/auctions/K1NnP4on/2001-bmw-z3-25i-roadster,"$5,600",BMW,"Z3
Save","77,400 Miles Shown",Clean (GA),Dealer ($249 Doc Fee),2.5L I6,Rear-wheel drive,Manual (5-Speed),Convertible,Jet Black,Beige
https://carsandbids.com/auctions/rj78oYRx/2017-jaguar-f-pace-s,Jaguar,"F-Pace
Save","87,400",Clean (VA),Private Party,3.0L Supercharged V6,4WD/AWD,Automatic (8-Speed),SUV/Crossover,Polaris White,Pimento Red/Ebony
https://carsandbids.com/auctions/36R50RLl/2014-lexus-gx-460,"$30,500",Lexus,"GX
Save","88,600",Clean (AZ),Private Party,4.6L V8,4WD/AWD,Automatic (6-Speed),SUV/Crossover,Tungsten Pearl,Parchment
https://carsandbids.com/auctions/9Apaq7a5/2007-toyota-land-cruiser,"$14,100",Toyota,"Land Cruiser
Save","297,500",Clean (SC),Dealer,4.7L V8,4WD/AWD,Automatic (5-Speed),SUV/Crossover,Sonora Gold Pearl,Ivory
https://carsandbids.com/auctions/98OZxvzd/2014-mercedes-benz-slk250,"$13,000",Mercedes-Benz,"SLK-Class
Save","26,500",Clean (AZ),Dealer,1.8L Turbocharged I4,Rear-wheel drive,Automatic (7-Speed),Convertible,Black,Black
https://carsandbids.com/auctions/rjZLPnql/2008-audi-tt-32-quattro-roadster,"$7,700",Audi,"TT
Save","102,000",Clean (FL),Private Party,3.2L V6,4WD/AWD,Manual (6-Speed),Convertible,Brilliant Red,Black
https://carsandbids.com/auctions/9aAXlabl/2020-jeep-wrangler-sport-4x4,"$15,550",Jeep,"Wrangler
Save","64,800",Clean (NJ),Private Party,2.0L Turbocharged I4,4WD/AWD,Automatic (8-Speed),SUV/Crossover,Bright White,Black
https://carsandbids.com/auctions/92Rvz5NE/2000-mazda-mx-5-miata,"$7,900",Mazda,"NB Miata
Save","64,800",Clean (CA),Private Party,1.8L I4,Rear-wheel drive,Manual (5-Speed),Convertible,Highlight Silver Metallic,Black
https://carsandbids.com/auctions/rG4lWL2g/2013-bmw-335i-convertible,"$16,450",BMW,"3 Series
Save","47,100",Clean (FL),Private Party,3.0L Turbocharged I6,Rear-wheel drive,Automatic (6-Speed),Convertible,Black Sapphire Metallic,Saddle Brown
https://carsandbids.com/auctions/rEBO7Rme/2023-chevrolet-camaro-zl1-coupe,"$54,500",Chevrolet,"Camaro
Save","26,200",Clean (TX),Private Party,6.2L Supercharged V8,Rear-wheel drive,Automatic (10-Speed),Coupe,Vivid Orange Metallic,Jet Black/Red
https://carsandbids.com/auctions/30X02ay2/2017-ford-fiesta-st,"$6,000",Ford,"Fiesta
Save","95,200",Clean (WA),Private Party,1.6L Turbocharged I4,Front-wheel drive,Manual (6-Speed),Hatchback,Shadow Black,Charcoal Black
https://carsandbids.com/auctions/3oe8qel7/2020-fiat-124-spider-abarth,"$22,750",Fiat,"124 Spider
Save","9,600",Clean (VA),Private Party,1.4L Turbocharged I4,Rear-wheel drive,Manual (6-Speed),Convertible,Forte Black Metallic,Nero/Rosso
https://carsandbids.com/auctions/3OppmVOg/2021-ram-1500-trx,"$63,500",Ram,"1500
Save","32,700",Clean (MT),Dealer (($21 Documentation Fee)),6.2L Turbocharged and Supercharged V8,4WD/AWD,Automatic (8-Speed),Truck,Bright White,Black
https://carsandbids.com/auctions/KdVq7nLb/2001-porsche-911-turbo-coupe,"$34,000",Porsche,"996 911
Save","104,300",Clean (VA),Private Party,3.6L Turbocharged Flat-6,Rear-wheel drive,Automatic (5-Speed),Coupe,Arctic Silver Metallic,Graphite Grey
https://carsandbids.com/auctions/98mpVWbX/2008-mercedes-benz-s550,"$8,200",Mercedes-Benz,"S-Class
Save","138,600",Clean (CA),Dealer,5.5L V8,Rear-wheel drive,Automatic (7-Speed),Sedan,Calcite White,Black
https://carsandbids.com/auctions/KPe85ndN/2015-bmw-435i-coupe,"$14,000",BMW,"4 Series
Save","66,700",Clean (CA),Private Party,3.0L Turbocharged I6,Rear-wheel drive,Automatic (8-Speed),Coupe,Alpine White,Oyster
https://carsandbids.com/auctions/rw2WaDQN/1997-toyota-land-cruiser-prado-tz,"$15,500",Toyota,"Land Cruiser
Save","37,800",Clean (NC),Private Party,3.0L Turbodiesel I4,4WD/AWD,Automatic (4-Speed),SUV/Crossover,Green/Gray,Gray
https://carsandbids.com/auctions/9eNY1VmA/1990-bmw-325i-coupe,BMW,"3 Series
Save","126,000","Clean (BC, Canada)",Private Party,2.5L I6,Rear-wheel drive,Manual (5-Speed),Coupe,Bronzit Beige,Pearl Beige
https://carsandbids.com/auctions/r4Z1xl5g/2020-alfa-romeo-stelvio-ti-sport-q4,"$18,000",Alfa Romeo,"Stelvio
Save","64,000",Clean (NC),Private Party,2.0L Turbocharged I4,4WD/AWD,Automatic (8-Speed),SUV/Crossover,Alfa White,Red/Black
https://carsandbids.com/auctions/Kdlq5nQv/2015-mercedes-benz-e63-s-amg-sedan,"$33,750",Mercedes-Benz,"W212 E63 AMG
Save","33,400",Clean (TX),Private Party,5.5L Turbocharged V8,4WD/AWD,Automatic (7-Speed),Sedan,Black,Black
https://carsandbids.com/auctions/35XqVEkN/2012-bmw-135i-coupe,BMW,"1 Series
Save","125,800",Clean (TX),Dealer,3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Coupe,Vermillion Red Metallic,Black
https://carsandbids.com/auctions/rMkAYnGZ/2023-tesla-model-s-plaid,"$55,000",Tesla,"Model S
Save","27,000",Clean (NJ),Private Party,Triple Electric Motors,4WD/AWD,Automatic,Sedan,Solid Black,Black
https://carsandbids.com/auctions/rNJ1L7ZP/2020-bmw-x5-xdrive40i,"$25,250",BMW,"X5
Save","64,100",Clean (NY),Dealer,3.0L Turbocharged I6,4WD/AWD,Automatic (8-Speed),SUV/Crossover,Mineral White Metallic,Ivory White
https://carsandbids.com/auctions/3Rqm5wBx/1999-porsche-911-carrera-coupe,"$28,500",Porsche,"996 911
Save","73,700",Clean (WA),Dealer ($200 Doc Fee),3.4L Flat-6,Rear-wheel drive,Automatic (5-Speed),Coupe,Guards Red,Black
https://carsandbids.com/auctions/rkxwqD6L/2011-mercedes-benz-e550-4matic-sedan,Mercedes-Benz,"E-Class
Save","133,800",Clean (CT),Private Party,5.5L V8,4WD/AWD,Automatic (7-Speed),Sedan,Black,Brown
https://carsandbids.com/auctions/35yEgLql/1998-honda-civic-type-r,"$22,350",Honda,"Civic Type R
Save","126,600",Clean (UT),Dealer ($299 Document Fee),1.6L I4,Front-wheel drive,Manual (5-Speed),Hatchback,Championship White,Red/Gray
https://carsandbids.com/auctions/3vyzzpMM/1925-ford-model-t,Ford,"Model T
Save",No Odometer,Registered (NY),Private Party,177CI I4,Rear-wheel drive,Manual (2-Speed),Sedan,Black,Gray/Black
https://carsandbids.com/auctions/r4zxmYby/2000-tvr-tuscan-speed-six,"$50,000",TVR,"Tuscan
Save","51,000",Clean (MT),Private Party,4.0L I6,Rear-wheel drive,Manual (5-Speed),Coupe,Tahiti Blue,Magnolia/Blue
https://carsandbids.com/auctions/3zLDQ0Pr/2018-porsche-panamera-turbo-sport-turismo,Porsche,"Panamera
Save","29,000",Clean (MT),Private Party,4.0L Turbocharged V8,4WD/AWD,Automatic (8-Speed),Wagon,Jet Black Metallic,Black
https://carsandbids.com/auctions/rMeXx0Am/2023-dodge-challenger-srt-demon-170,Dodge,"Challenger
Save",120,Clean (NJ),Private Party,6.2L Supercharged V8,Rear-wheel drive,Automatic (8-Speed),Coupe,Pitch Black,Black
https://carsandbids.com/auctions/rklkEyeR/1997-mazda-mx-5-miata,"$8,000",Mazda,"NA Miata
Save","67,000",Clean (OH),Private Party,1.8L I4,Rear-wheel drive,Manual (5-Speed),Convertible,Classic Red,Black
https://carsandbids.com/auctions/9lvvQ7EG/1961-volkswagen-beetle,"$29,450",Volkswagen,"Beetle
Save",700 Miles Shown - TMU,Clean (CA),Private Party,1.9L Flat-4,Rear-wheel drive,Manual (4-Speed),Sedan,Sabzi Green,Tan
https://carsandbids.com/auctions/rJ2xXW8E/2024-bmw-m3-sedan,"$71,175",BMW,"G80 M3
Save","4,600",Clean (CA),Private Party,3.0L Turbocharged I6,Rear-wheel drive,Manual (6-Speed),Sedan,Individual Dravit Grey Metallic,Kyalami Orange/Black
https://carsandbids.com/auctions/rx5a77zQ/2011-land-rover-lr4-hse-lux,"$14,500",Land Rover,"LR4
Save","68,500",Clean (FL),Dealer,5.0L V8,4WD/AWD,Automatic (6-Speed),SUV/Crossover,Santorini Black,Almond
https://carsandbids.com/auctions/KDqG0k0r/2023-subaru-brz-limited,"$22,500",Subaru,"BRZ
Save","10,200",Clean (TX),Private Party,2.4L Flat-4,Rear-wheel drive,Manual (6-Speed),Coupe,WR Blue Pearl,Black/Red
https://carsandbids.com/auctions/K1xyml23/2017-mercedes-benz-sprinter-2500-4x4,"$55,500",Mercedes-Benz,"Sprinter
Save","57,000",Clean (CA),Private Party,3.0L Turbodiesel V6,4WD/AWD,Automatic (5-Speed),Van/Minivan,Graphite Grey,Heather Grey
https://carsandbids.com/auctions/9aaMRlEo/2013-porsche-cayenne,"$37,000",Porsche,"Cayenne
Save","88,500",Clean (WA),Private Party,3.6L V6,4WD/AWD,Manual (6-Speed),SUV/Crossover,White,Black
https://carsandbids.com/auctions/3RYlPVPD/2012-bmw-x5-xdrive50i,"$9,601",BMW,"X5
Save","107,900",Clean (CA),Dealer ($65 Document Fee),4.4L Turbocharged V8,4WD/AWD,Automatic (8-Speed),SUV/Crossover,Deep Sea Blue Metallic,Black
https://carsandbids.com/auctions/3od0QdRE/2000-chevrolet-camaro-z28-ss-coupe,Chevrolet,"Camaro
Save","59,300",Clean (IA),Dealer,5.7L V8,Rear-wheel drive,Automatic (4-Speed),Coupe,Black,Ebony
https://carsandbids.com/auctions/3RnmDwWq/2019-range-rover-autobiography,"$45,250",Land Rover,"Range Rover
Save","34,900",Clean (NH),Private Party,5.0L Supercharged V8,4WD/AWD,Automatic (8-Speed),SUV/Crossover,Ethereal Frost Silver,Pimento/Ebony
https://carsandbids.com/auctions/30wPJpP9/2017-toyota-tacoma-trd-sport-double-cab-4x4,"$31,500",Toyota,"Tacoma
Save","25,700",Clean (FL),Private Party,3.5L V6,4WD/AWD,Automatic (6-Speed),Truck,Super White,Black/Orange
https://carsandbids.com/auctions/Kmm4peRx/2019-volkswagen-golf-r,"$18,850",Volkswagen,"Golf R
Save","76,400",Clean (CA),Private Party,2.0L Turbocharged I4,4WD/AWD,Automatic (7-Speed),Hatchback,Lapiz Blue Metallic,Black
https://carsandbids.com/auctions/KYZ52Y8A/1998-lexus-gs-400,"$15,750",Lexus,"GS
Save","198,600",Clean (GA),Private Party,4.0L Supercharged V8,Rear-wheel drive,Automatic (8-Speed),Sedan,Diamond White Pearl,Tan
https://carsandbids.com/auctions/3o20PdMv/2007-mercedes-benz-sl550,"$11,400",Mercedes-Benz,"R230 SL
Save","45,700",Clean (CA),Private Party,5.5L V8,Rear-wheel drive,Automatic (7-Speed),Convertible,Pewter Metallic,Beige
https://carsandbids.com/auctions/KV7oQ8ak/2019-audi-q8-prestige,"$29,000",Audi,"Q8
Save","79,200",Clean (PA),Dealer,3.0L Turbocharged V6,4WD/AWD,Automatic (8-Speed),SUV/Crossover,Navarra Blue Metallic,Sarder Brown
https://carsandbids.com/auctions/r4Y1MlBD/1997-lexus-lx-450,"$22,000",Lexus,"LX
Save","206,500",Clean (FL),Dealer,4.5L I6,4WD/AWD,Automatic (4-Speed),SUV/Crossover,Black,Beige
https://carsandbids.com/auctions/3vNJYXJR/2001-ferrari-360-modena,"$69,536",Ferrari,"360
Save","38,100",Clean (CA),Private Party,3.6L V8,Rear-wheel drive,Automatic (6-Speed),Coupe,Rosso Corsa,Beige
https://carsandbids.com/auctions/9QMqpdzn/2017-jeep-wrangler-unlimited-sport-4x4,"$10,550",Jeep,"Wrangler
Save","73,100",Clean (OH),Private Party,3.6L V6,4WD/AWD,Automatic (5-Speed),SUV/Crossover,Granite Crystal Metallic,Black
https://carsandbids.com/auctions/9Wlj4pQ1/1984-chevrolet-corvette-coupe,"$5,500",Chevrolet,"C4 Corvette
Save","62,200",Clean (NJ),Private Party,5.7L V8,Rear-wheel drive,Automatic (4-Speed),Coupe,Silver Metallic,Gray
https://carsandbids.com/auctions/KZeG1o5m/2000-porsche-911-carrera-4-cabriolet,"$18,246",Porsche,"996 911
Save","66,500",Clean (FL),Private Party,3.4L Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Ocean Blue Metallic,Savanna Beige
https://carsandbids.com/auctions/9l588xa2/2013-scion-fr-s,"$9,600",Scion,"FR-S
Save","82,400",Clean (WA),Dealer,2.0L Flat-4,Rear-wheel drive,Manual (6-Speed),Coupe,Raven,Black
https://carsandbids.com/auctions/rkekpyO4/1994-toyota-land-cruiser-vx,Toyota,"Land Cruiser
Save","35,600",Clean (MN),Private Party,4.5L I6,4WD/AWD,Manual (5-Speed),SUV/Crossover,Beige Metallic,Brown
https://carsandbids.com/auctions/rNXOYYN4/1992-ford-mustang-lx-50-hatchback,"$10,001",Ford,"Mustang
Save","93,600",Clean (NH),Private Party,5.0L V8,Rear-wheel drive,Manual (5-Speed),Hatchback,Wild Strawberry,Black
https://carsandbids.com/auctions/KmAnkDoN/2024-chevrolet-corvette-z06-convertible-2lz,"$95,600",Chevrolet,"C8 Corvette
Save","13,800",Clean (TN),Private Party,5.5L V8,Rear-wheel drive,Automatic (8-Speed),Convertible,Black,Jet Black
https://carsandbids.com/auctions/9XAeQNv7/2003-mercedes-benz-clk55-amg-coupe,"$8,500",Mercedes-Benz,"CLK AMG
Save","93,800",Clean (WA),Private Party,5.4L V8,Rear-wheel drive,Automatic (5-Speed),Coupe,Brilliant Silver Metallic,Black
https://carsandbids.com/auctions/30kJyaOM/2001-ford-f-150-svt-lightning,"$24,999",Ford,"F-150
Save","54,800",Clean (NJ),Private Party,5.4L Supercharged V8,Rear-wheel drive,Automatic (4-Speed),Truck,Black,Medium Graphite
