Make,Model,Drivetrain,Body Style,Transmission_Type,Engine_Cylinders
Mercedes-Benz,GLA AMG,4WD/AWD,SUV/Crossover,Automatic,I4
Rolls-Royce,Ghost,4WD/AWD,Sedan,Automatic,V12
Ram,3500,4WD/AWD,Truck,Automatic,I6
Maserati,MC20,Rear-wheel drive,Coupe,Automatic,V6
Ultima,GTR,Rear-wheel drive,Coupe,Manual,V8
McLaren,765LT,Rear-wheel drive,Convertible,Automatic,V8
Hummer,EV Pickup,4WD/AWD,Truck,Automatic,Other
Bentley,Continental,4WD/AWD,Coupe,Automatic,W12
Bentley,Continental,4WD/AWD,Convertible,Automatic,W12
Audi,Q8,4WD/AWD,SUV/Crossover,Automatic,V6
JBV,Rickshaw,Rear-wheel drive,Convertible,Automatic,Electric
Exomotive,Exocet,Rear-wheel drive,Convertible,Manual,I4
Ford,Mustang,Rear-wheel drive,Convertible,Manual,V8
Mercedes-Benz,EQS,4WD/AWD,Sedan,Automatic,Electric
McLaren,GT,Rear-wheel drive,Coupe,Automatic,V8
McLaren,720S,Rear-wheel drive,Convertible,Automatic,V8
Hyundai,Santa Cruz,4WD/AWD,Truck,Automatic,I4
Hyundai,Elantra,Front-wheel drive,Sedan,Automatic,I4
GMC,Yukon,4WD/AWD,SUV/Crossover,Automatic,V8
BMW,5 Series,4WD/AWD,Sedan,Automatic,I6
Maserati,Quattroporte,Rear-wheel drive,Sedan,Automatic,V8
GMC,Yukon,4WD/AWD,SUV/Crossover,Automatic,I6
Ford,Ranger,4WD/AWD,Truck,Automatic,I4
Audi,RS7,4WD/AWD,Sedan,Automatic,V8
Toyota,Land Cruiser,4WD/AWD,SUV/Crossover,Automatic,V8
Dodge,Durango,4WD/AWD,SUV/Crossover,Automatic,V8
Mercedes-Benz,CLS AMG,4WD/AWD,Sedan,Automatic,I6
Audi,TTS,4WD/AWD,Coupe,Automatic,I4
Subaru,WRX STI,4WD/AWD,Sedan,Manual,H4
Polestar,1,4WD/AWD,Coupe,Automatic,I4
Audi,SQ8,4WD/AWD,SUV/Crossover,Automatic,V8
Lamborghini,Huracan,Rear-wheel drive,Convertible,Automatic,V10
Audi,B9 S4,4WD/AWD,Sedan,Automatic,V6
