Make,Model,Drivetrain,Body Style,Transmission_Type,Engine_Cylinders
Infiniti,Q60,Rear-wheel drive,Convertible,Automatic,V6
BMW,X1,4WD/AWD,SUV/Crossover,Automatic,I6
Cadillac,CTS-V,Rear-wheel drive,Wagon,Manual,V8
Volkswagen,Tiguan,4WD/AWD,SUV/Crossover,Automatic,I4
Audi,R8,4WD/AWD,Coupe,Automatic,V8
Fiat,500,Front-wheel drive,Hatchback,Manual,I4
Mercedes-Benz,ML-Class,4WD/AWD,SUV/Crossover,Automatic,V6
Volkswagen,Jetta,Front-wheel drive,Wagon,Manual,I4
Subaru,Impreza,4WD/AWD,Hatchback,Manual,H4
Subaru,BRZ,Rear-wheel drive,Coupe,Automatic,V8
Mercedes-Benz,C-Class,Rear-wheel drive,Coupe,Automatic,V6
Ford,E-Series,4WD/AWD,Van/Minivan,Automatic,V8
Volkswagen,Beetle,Front-wheel drive,Hatchback,Manual,I4
BMW,4 Series,4WD/AWD,Coupe,Automatic,I4
Volkswagen,Jetta,Front-wheel drive,Wagon,Automatic,I4
Subaru,BRZ,Rear-wheel drive,Coupe,Manual,V8
BMW,3 Series,Rear-wheel drive,Wagon,Manual,I6
Acura,TL,4WD/AWD,Sedan,Manual,V6
Ford,F-150 Raptor,Rear-wheel drive,Truck,Automatic,V8
Jaguar,XJL,Rear-wheel drive,Sedan,Automatic,V6
Lamborghini,Gallardo,4WD/AWD,Coupe,Automatic,V10
MINI,Cooper Roadster,Front-wheel drive,Convertible,Manual,I4
BMW,X5,4WD/AWD,SUV/Crossover,Automatic,Other
Audi,A5,Front-wheel drive,Convertible,Automatic,I4
Jaguar,F-Type,Rear-wheel drive,Convertible,Automatic,V8
Hyundai,Genesis Coupe,Rear-wheel drive,Coupe,Automatic,V6
Subaru,WRX STI,4WD/AWD,Hatchback,Manual,H4
Rolls-Royce,Phantom,Rear-wheel drive,Convertible,Automatic,V12
Jaguar,XJL,4WD/AWD,Sedan,Automatic,V6
Scion,tC,Front-wheel drive,Coupe,Automatic,I4
Aston Martin,Vanquish,Rear-wheel drive,Convertible,Automatic,V12
Mercedes-Benz,C-Class,Rear-wheel drive,Sedan,Automatic,V6
McLaren,P1,Rear-wheel drive,Coupe,Automatic,V8
MINI,Cooper Clubman,Front-wheel drive,Wagon,Automatic,I4
BMW,3 Series,4WD/AWD,Wagon,Manual,I4
Volkswagen,CC,Front-wheel drive,Sedan,Manual,I4
Jaguar,XK,Rear-wheel drive,Convertible,Automatic,V8
Volkswagen,Mk6 GTI,Front-wheel drive,Hatchback,Manual,I4
Cadillac,CTS-V,Rear-wheel drive,Wagon,Automatic,V8
Ford,F-150,Rear-wheel drive,Truck,Automatic,V8
Nissan,Murano,4WD/AWD,SUV/Crossover,Automatic,V6
Cadillac,CTS-V,Rear-wheel drive,Sedan,Automatic,V6
Volkswagen,Beetle,Front-wheel drive,Coupe,Automatic,I4
Nissan,370Z,Rear-wheel drive,Convertible,Automatic,V6
Audi,R8,4WD/AWD,Convertible,Manual,V10
BMW,6 Series,Rear-wheel drive,Coupe,Automatic,V8
Dodge,Charger,4WD/AWD,Sedan,Automatic,V8
Cadillac,ATS,4WD/AWD,Sedan,Automatic,I4
Volkswagen,Mk6 GTI,Front-wheel drive,Hatchback,Automatic,I4
Subaru,BRZ,Rear-wheel drive,Coupe,Manual,I6
Ford,Transit Connect,Front-wheel drive,Van/Minivan,Manual,I4
Chevrolet,Silverado,Rear-wheel drive,Truck,Automatic,V8
Lotus,Elise,Rear-wheel drive,Coupe,Manual,I4
BMW,5 Series,Rear-wheel drive,Sedan,Manual,I6
Mercedes-Benz,E-Class,Rear-wheel drive,Convertible,Automatic,V8
Mercedes-Benz,W212 E63 AMG,Rear-wheel drive,Wagon,Automatic,V8
Mercedes-Benz,CL AMG,Rear-wheel drive,Coupe,Automatic,V8
McLaren,MP4-12C,Rear-wheel drive,Convertible,Automatic,V8
Lamborghini,Gallardo,Rear-wheel drive,Convertible,Automatic,V10
Audi,A6,4WD/AWD,Sedan,Automatic,I4
Cadillac,CTS,4WD/AWD,Sedan,Automatic,V6
Tesla,Model S,Rear-wheel drive,Hatchback,Automatic,Electric
Hyundai,Genesis Coupe,Rear-wheel drive,Coupe,Automatic,I4
BMW,3 Series,Rear-wheel drive,Convertible,Automatic,I6
Volkswagen,Tiguan,Front-wheel drive,SUV/Crossover,Manual,I4
Lexus,IS,Rear-wheel drive,Sedan,Automatic,V6
Infiniti,G37,4WD/AWD,Coupe,Automatic,V6
Audi,Allroad,4WD/AWD,Wagon,Automatic,I4
Land Rover,LR4,4WD/AWD,SUV/Crossover,Automatic,V8
BMW,E9X M3,Rear-wheel drive,Coupe,Automatic,V8
Chevrolet,C6 Corvette,Rear-wheel drive,Convertible,Automatic,V8
BMW,1 Series,Rear-wheel drive,Coupe,Manual,I6
Volvo,C30,Front-wheel drive,Hatchback,Manual,I5
Chevrolet,C6 Corvette,Rear-wheel drive,Coupe,Manual,V8
BMW,1 Series,Rear-wheel drive,Convertible,Automatic,I6
BMW,1 Series,Rear-wheel drive,Convertible,Manual,I6
Audi,A3,Front-wheel drive,Hatchback,Automatic,I4
Bentley,Continental,4WD/AWD,Sedan,Automatic,W12
Chevrolet,C6 Corvette,Rear-wheel drive,Convertible,Manual,V8
Audi,TT RS,4WD/AWD,Coupe,Manual,I5
BMW,7 Series,Rear-wheel drive,Sedan,Automatic,V12
BMW,3 Series,Rear-wheel drive,Convertible,Manual,I6
Mazda,Mazdaspeed 3,Front-wheel drive,Hatchback,Manual,I4
Mercedes-Benz,W212 E63 AMG,Rear-wheel drive,Sedan,Automatic,V8
Chevrolet,C6 Corvette,Rear-wheel drive,Coupe,Automatic,V8
Volkswagen,Golf,Front-wheel drive,Hatchback,Manual,I4
Hyundai,Genesis,Rear-wheel drive,Coupe,Manual,V6
Infiniti,G37,4WD/AWD,Sedan,Automatic,V6
Lamborghini,Gallardo,Rear-wheel drive,Coupe,Automatic,V10
BMW,X1,Rear-wheel drive,SUV/Crossover,Automatic,I4
BMW,E9X M3,Rear-wheel drive,Coupe,Manual,V8
Mercedes-Benz,E-Class AMG,Rear-wheel drive,Wagon,Automatic,V8
BMW,E9X M3,Rear-wheel drive,Convertible,Automatic,V8
BMW,3 Series,Rear-wheel drive,Coupe,Manual,I6
Porsche,Panamera,Rear-wheel drive,Sedan,Automatic,V8
MINI,Cooper Paceman,4WD/AWD,SUV/Crossover,Manual,I4
Cadillac,Escalade,4WD/AWD,Truck,Automatic,V8
Honda,CR-Z,Front-wheel drive,Coupe,Manual,I4
Volvo,C30,Front-wheel drive,Hatchback,Automatic,I5
Infiniti,FX50,4WD/AWD,SUV/Crossover,Automatic,V8
BMW,3 Series,Rear-wheel drive,Coupe,Automatic,I6
Land Rover,LR2,4WD/AWD,SUV/Crossover,Automatic,I4
Maserati,GranSport,Rear-wheel drive,Coupe,Automatic,V8
MINI,Cooper Clubman,Front-wheel drive,Van/Minivan,Automatic,I4
Reboot,Buggy,Rear-wheel drive,Convertible,Automatic,V8
Chevrolet,Caprice,Rear-wheel drive,Sedan,Automatic,V8
Subaru,Impreza,4WD/AWD,Sedan,Manual,H4
BMW,5 Series,Rear-wheel drive,Sedan,Manual,V8
Jaguar,XK,Rear-wheel drive,Coupe,Automatic,V8
Audi,A4,4WD/AWD,Wagon,Manual,V6
Mercedes-Benz,S-Class,4WD/AWD,Sedan,Automatic,V6
Ford,E-Series,Rear-wheel drive,Van/Minivan,Automatic,V8
Mercedes-Benz,S-Class AMG,Rear-wheel drive,Sedan,Automatic,V8
Volkswagen,Golf R,4WD/AWD,Hatchback,Manual,I5
Audi,A4,4WD/AWD,Wagon,Manual,I4
Porsche,356 Replica,Rear-wheel drive,Convertible,Manual,H4
Buick,Regal,Front-wheel drive,Sedan,Automatic,I4
Audi,A8,4WD/AWD,Sedan,Automatic,W12
Cadillac,CTS-V,Rear-wheel drive,Sedan,Manual,V8
Subaru,Forester,4WD/AWD,Wagon,Manual,H4
Infiniti,G37,Rear-wheel drive,Sedan,Manual,V6
Jeep,Wrangler,4WD/AWD,Truck,Automatic,V6
Infiniti,G37,Rear-wheel drive,Coupe,Manual,V6
Mercedes-Benz,SLS AMG,Rear-wheel drive,Coupe,Automatic,V8
MINI,Cooper Coupe,Front-wheel drive,Coupe,Manual,I4
Caterham,CT03,Rear-wheel drive,Convertible,Automatic,Unknown
Cadillac,CTS,4WD/AWD,Wagon,Automatic,V6
Volkswagen,Golf R,4WD/AWD,Hatchback,Manual,Other
Infiniti,G37,Rear-wheel drive,Convertible,Automatic,V6
Subaru,Crosstrek,4WD/AWD,Hatchback,Manual,H4
Subaru,Forester,4WD/AWD,Wagon,Automatic,H4
Aston Martin,DB9,Rear-wheel drive,Convertible,Automatic,V12
Mercedes-Benz,E-Class,Rear-wheel drive,Coupe,Automatic,V6
Lincoln,Navigator,4WD/AWD,SUV/Crossover,Automatic,V8
BMW,3 Series,4WD/AWD,Coupe,Automatic,I6
MINI,Cooper Paceman,4WD/AWD,SUV/Crossover,Automatic,I4
MINI,Cooper Clubvan,Front-wheel drive,Van/Minivan,Automatic,I4
Rolls-Royce,Phantom,Rear-wheel drive,Sedan,Automatic,V12
BMW,Z4,Rear-wheel drive,Convertible,Manual,I4
Lamborghini,Gallardo,4WD/AWD,Convertible,Automatic,V10
MINI,Cooper Clubvan,Front-wheel drive,Wagon,Automatic,I4
Honda,CR-Z,Front-wheel drive,Hatchback,Automatic,I4
Mercedes-Benz,C-Class,Rear-wheel drive,Coupe,Automatic,I4
BMW,3 Series,4WD/AWD,Coupe,Manual,I6
Mercedes-Benz,CLS AMG,Rear-wheel drive,Sedan,Automatic,V8
Mercedes-Benz,CL-Class,4WD/AWD,Coupe,Automatic,V8
Scion,FR-S,Rear-wheel drive,Coupe,Manual,V8
Scion,FR-S,Rear-wheel drive,Coupe,Manual,I6
BMW,5 Series,4WD/AWD,Hatchback,Automatic,V8
Audi,A7,4WD/AWD,Hatchback,Automatic,V6
Porsche,991 911,Rear-wheel drive,Coupe,Manual,Other
Jaguar,XJL,Rear-wheel drive,Sedan,Automatic,V8
Jaguar,XF,Rear-wheel drive,Sedan,Automatic,V8
Audi,A5,4WD/AWD,Convertible,Automatic,I4
AM General,Hummer,4WD/AWD,Truck,Automatic,V8
Porsche,997 911,4WD/AWD,Convertible,Automatic,H6
Volvo,C70,Front-wheel drive,Convertible,Automatic,I5
Aston Martin,Virage,Rear-wheel drive,Coupe,Automatic,V12
Porsche,997 911,Rear-wheel drive,Convertible,Automatic,H6
Volkswagen,Mk6 GTI,Rear-wheel drive,Hatchback,Manual,I4
Fisker,Karma,Rear-wheel drive,Sedan,Automatic,I4
Mercedes-Benz,E-Class AMG,Rear-wheel drive,Sedan,Automatic,V8
Porsche,987 Boxster,Rear-wheel drive,Convertible,Automatic,H6
Porsche,987 Cayman,Rear-wheel drive,Coupe,Manual,H6
Audi,S5,4WD/AWD,Coupe,Automatic,V8
Lexus,IS,Rear-wheel drive,Convertible,Automatic,V6
Mazda,NC Miata,Rear-wheel drive,Convertible,Manual,V8
Porsche,997 911,4WD/AWD,Coupe,Manual,H6
Mitsubishi,i-MiEV,Rear-wheel drive,Hatchback,Automatic,Electric
Land Rover,LR2,4WD/AWD,SUV/Crossover,Automatic,I6
Porsche,997 911,Rear-wheel drive,Coupe,Automatic,H6
Porsche,997 911,Rear-wheel drive,Convertible,Manual,H6
McLaren,MP4-12C,Rear-wheel drive,Coupe,Automatic,V8
BMW,3 Series,4WD/AWD,Wagon,Manual,I6
Fiat,500,Front-wheel drive,Convertible,Automatic,I4
BMW,E9X M3,Rear-wheel drive,Convertible,Manual,V8
Acura,TSX,Front-wheel drive,Wagon,Automatic,I4
KTM,X-Bow,Rear-wheel drive,Convertible,Manual,I4
Chevrolet,Colorado,Rear-wheel drive,Truck,Automatic,V8
Scion,iQ,Front-wheel drive,Hatchback,Automatic,I4
Volvo,XC70,Front-wheel drive,Wagon,Automatic,I6
Nissan,370Z,Rear-wheel drive,Coupe,Manual,I6
BMW,6 Series,Rear-wheel drive,Coupe,Manual,V8
Porsche,997 911,Rear-wheel drive,Coupe,Manual,H6
BMW,3 Series,4WD/AWD,Wagon,Automatic,I6
Audi,TTS,4WD/AWD,Convertible,Automatic,I4
Chevrolet,Sonic,Front-wheel drive,Hatchback,Automatic,I4
Toyota,Tacoma,Rear-wheel drive,Truck,Manual,V6
Morgan,3-Wheeler,Rear-wheel drive,Convertible,Manual,V2
BMW,3 Series,Rear-wheel drive,Wagon,Automatic,I6
Toyota,Sequoia,Rear-wheel drive,SUV/Crossover,Automatic,V8
Audi,A3,Front-wheel drive,Hatchback,Manual,I4
Chevrolet,Avalanche,4WD/AWD,Truck,Automatic,V8
Audi,S5,4WD/AWD,Coupe,Manual,V8
Ford,Mustang,Rear-wheel drive,Sedan,Manual,V8
Audi,A3,4WD/AWD,Hatchback,Automatic,I4
Dodge,Challenger,Rear-wheel drive,Sedan,Manual,V8
BMW,6 Series,Rear-wheel drive,Convertible,Manual,V8
MINI,Cooper Coupe,Front-wheel drive,Coupe,Automatic,I4
Hyundai,Genesis Coupe,Rear-wheel drive,Coupe,Manual,I4
Infiniti,G37,Rear-wheel drive,Sedan,Automatic,V6
Infiniti,G37,Rear-wheel drive,Coupe,Automatic,V6
Volvo,S60,4WD/AWD,Sedan,Automatic,V6
BMW,E9X M3,Rear-wheel drive,Sedan,Manual,V8
Ram,5500,4WD/AWD,Truck,Automatic,I6
BMW,E9X M3,Rear-wheel drive,Sedan,Automatic,V8
BMW,1 Series M,Rear-wheel drive,Coupe,Manual,I6
Dodge,Ram,4WD/AWD,Truck,Automatic,V8
Saab,9-5,4WD/AWD,Sedan,Automatic,V6
Honda,Element,Front-wheel drive,SUV/Crossover,Automatic,I4
Aston Martin,Vantage,Rear-wheel drive,Coupe,Manual,V12
Tesla,Roadster,Rear-wheel drive,Convertible,Automatic,Electric
Lotus,Elise,Rear-wheel drive,Convertible,Manual,I4
Audi,S6,4WD/AWD,Sedan,Automatic,V10
Saab,9-4X,Front-wheel drive,SUV/Crossover,Automatic,V6
Audi,A4,4WD/AWD,Wagon,Automatic,V6
Porsche,987 Cayman,Rear-wheel drive,Coupe,Automatic,H6
Mercedes-Benz,GLK- Class,Rear-wheel drive,SUV/Crossover,Manual,V8
Lexus,GS,Rear-wheel drive,Sedan,Automatic,V8
Cadillac,DTS,Front-wheel drive,Sedan,Automatic,V8
Ram,1500,Rear-wheel drive,Truck,Automatic,V8
Mercedes-Benz,C-Class,Rear-wheel drive,Sedan,Manual,V6
Lamborghini,Gallardo,Rear-wheel drive,Coupe,Manual,V10
Volkswagen,Eos,Front-wheel drive,Convertible,Manual,I4
Ford,Crown Victoria,Rear-wheel drive,Sedan,Automatic,V8
Porsche,911,Rear-wheel drive,Coupe,Manual,H6
Think,City,Front-wheel drive,Hatchback,Automatic,Electric
Saab,9-5,Front-wheel drive,Sedan,Manual,I4
Chevrolet,Suburban,4WD/AWD,SUV/Crossover,Automatic,V8
Acura,TSX,Front-wheel drive,Sedan,Manual,I4
Saab,9-5,Front-wheel drive,Sedan,Automatic,I4
Mazda,RX-8,Rear-wheel drive,Coupe,Manual,Rotary
Mitsubishi,Lancer,4WD/AWD,Hatchback,Automatic,I4
Saab,9-4X,4WD/AWD,SUV/Crossover,Automatic,V6
Subaru,WRX STI,4WD/AWD,Hatchback,Manual,Other
Hyundai,Genesis Coupe,Rear-wheel drive,Coupe,Manual,V8
Infiniti,M56,Rear-wheel drive,Sedan,Automatic,V8
Lexus,IS,Rear-wheel drive,Convertible,Manual,V6
Chevrolet,Impala,Front-wheel drive,Sedan,Automatic,V6
BMW,E60 M5,Rear-wheel drive,Sedan,Automatic,V10
Volvo,V70,Front-wheel drive,Wagon,Automatic,I6
Ford,Explorer,4WD/AWD,Truck,Automatic,V8
Nissan,370Z,Rear-wheel drive,Convertible,Manual,V6
Volvo,S80,4WD/AWD,Sedan,Automatic,V8
Aston Martin,DBS,Rear-wheel drive,Convertible,Automatic,V12
Volvo,V50,4WD/AWD,Wagon,Manual,I5
Lincoln,Town Car,Rear-wheel drive,Sedan,Automatic,V8
Buick,Lucerne,Front-wheel drive,Sedan,Automatic,V8
BMW,E63/E64 M6,Rear-wheel drive,Convertible,Automatic,V10
Radical,SR3,Rear-wheel drive,Convertible,Automatic,I4
BMW,5 Series,Rear-wheel drive,Wagon,Manual,I6
Porsche,997 911,4WD/AWD,Convertible,Manual,H6
Volkswagen,Beetle,Front-wheel drive,Convertible,Automatic,I5
BMW,5 Series,4WD/AWD,Wagon,Manual,I6
Acura,TL,Front-wheel drive,Sedan,Automatic,V6
BMW,E63/E64 M6,Rear-wheel drive,Coupe,Automatic,V10
Cadillac,CTS,Rear-wheel drive,Wagon,Automatic,V6
Nissan,Altima,Front-wheel drive,Coupe,Manual,V6
BMW,X3,4WD/AWD,SUV/Crossover,Manual,I6
Lexus,SC,Rear-wheel drive,Convertible,Automatic,V8
Hummer,H3T,4WD/AWD,Truck,Automatic,V8
Lamborghini,Murcielago,4WD/AWD,Coupe,Automatic,V12
Chevrolet,HHR,Front-wheel drive,Wagon,Manual,I4
Subaru,Legacy,4WD/AWD,Sedan,Manual,H4
Ford,Explorer,Rear-wheel drive,SUV/Crossover,Automatic,V6
Volkswagen,Passat,Front-wheel drive,Wagon,Automatic,I4
Hummer,H3T,4WD/AWD,Truck,Automatic,I5
Volkswagen,Passat,Front-wheel drive,Sedan,Manual,I4
Saab,9-3,Front-wheel drive,Convertible,Automatic,I4
Suspensions Unlimited,Sand Pro 2,Rear-wheel drive,Convertible,Manual,V6
Chrysler,PT Cruiser,Front-wheel drive,Hatchback,Manual,I4
Military Vehicle,Humvee/HMMWV,4WD/AWD,Truck,Automatic,V8
Audi,TT,Front-wheel drive,Convertible,Automatic,I4
Mitsubishi,Eclipse,Front-wheel drive,Convertible,Automatic,V6
Rossion,Q1,Rear-wheel drive,Coupe,Manual,V6
Porsche,Cayenne,4WD/AWD,SUV/Crossover,Manual,V8
BMW,1 Series,Rear-wheel drive,Coupe,Automatic,V8
Mercury,Grand Marquis,Rear-wheel drive,Sedan,Automatic,V8
Audi,A4,Front-wheel drive,Convertible,Automatic,I4
AM General,Hummer,4WD/AWD,SUV/Crossover,Automatic,V8
Audi,S8,4WD/AWD,Sedan,Automatic,V10
Chevrolet,Cobalt,Front-wheel drive,Coupe,Manual,I4
Pontiac,G8,Rear-wheel drive,Sedan,Automatic,V8
BMW,5 Series,Rear-wheel drive,Wagon,Manual,V10
Mercedes-Benz,CLK-Class,Rear-wheel drive,Convertible,Automatic,V6
Pontiac,Solstice,Rear-wheel drive,Coupe,Automatic,I4
Pontiac,G8,Rear-wheel drive,Sedan,Manual,V8
Audi,A4,4WD/AWD,Convertible,Automatic,I4
Pontiac,Solstice,Rear-wheel drive,Coupe,Manual,I4
Audi,B8 S4,4WD/AWD,Wagon,Automatic,V6
Volvo,S80,Front-wheel drive,Sedan,Automatic,I6
Nissan,Frontier,Rear-wheel drive,Truck,Automatic,I4
Aston Martin,DBS,Rear-wheel drive,Coupe,Manual,V12
Subaru,Outback,4WD/AWD,Wagon,Manual,H4
Chevrolet,HHR,Front-wheel drive,Wagon,Automatic,I4
Pontiac,Solstice,Rear-wheel drive,Convertible,Automatic,I4
Ford,Ranger,Rear-wheel drive,Truck,Manual,I4
Mercedes-Benz,W211 E63 AMG,Rear-wheel drive,Wagon,Automatic,V8
Mitsubishi,Eclipse,Front-wheel drive,Convertible,Manual,V6
BMW,1 Series,4WD/AWD,Convertible,Automatic,I6
Mercedes-Benz,W211 E63 AMG,Rear-wheel drive,Sedan,Automatic,V8
Chevrolet,Trailblazer,Rear-wheel drive,SUV/Crossover,Automatic,V8
Honda,Element,4WD/AWD,SUV/Crossover,Manual,I4
Audi,A5,4WD/AWD,Coupe,Manual,V6
Ferrari,430 Scuderia,Rear-wheel drive,Coupe,Automatic,V8
Chevrolet,HHR,Front-wheel drive,Van/Minivan,Automatic,I4
Saab,9-3,Front-wheel drive,Wagon,Automatic,I4
Mercedes-Benz,CLK-Class,Rear-wheel drive,Convertible,Automatic,V8
Volkswagen,Jetta,Front-wheel drive,Wagon,Manual,I5
Mercedes-Benz,E-Class,Rear-wheel drive,Sedan,Automatic,V8
Infiniti,G37,Rear-wheel drive,Convertible,Manual,V6
Saturn,Sky,Rear-wheel drive,Convertible,Manual,I4
Smart,Fortwo,Rear-wheel drive,Convertible,Automatic,I3
Honda,S2000,Rear-wheel drive,Convertible,Manual,I4
Ferrari,F430,Rear-wheel drive,Coupe,Automatic,V8
BMW,E63/E64 M6,Rear-wheel drive,Convertible,Manual,V10
Mercedes-Benz,SL AMG,Rear-wheel drive,Coupe,Automatic,V12
Toyota,FJ Cruiser,Rear-wheel drive,SUV/Crossover,Automatic,V6
Audi,TT,4WD/AWD,Convertible,Manual,V6
Chevrolet,Cobalt,Front-wheel drive,Sedan,Manual,I4
Mercedes-Benz,CLK-Class,Rear-wheel drive,Coupe,Automatic,V8
Bentley,Arnage,Rear-wheel drive,Sedan,Automatic,V8
Saab,9-3,Front-wheel drive,Convertible,Automatic,V6
BMW,5 Series,4WD/AWD,Sedan,Manual,I6
Ford,Super Duty,4WD/AWD,Truck,Manual,V8
Pontiac,Solstice,Rear-wheel drive,Convertible,Manual,I4
Toyota,Solara,Front-wheel drive,Convertible,Automatic,V6
Volkswagen,R32,4WD/AWD,Hatchback,Automatic,V6
Ferrari,599,Rear-wheel drive,Coupe,Manual,V12
Ferrari,F430,Rear-wheel drive,Convertible,Automatic,V8
Nissan,350Z,Rear-wheel drive,Convertible,Manual,V6
BMW,Z4,Rear-wheel drive,Coupe,Manual,I6
Ford,Super Duty,Rear-wheel drive,Truck,Automatic,I6
Dodge,Ram,Rear-wheel drive,Truck,Manual,I6
Saab,9-5,Front-wheel drive,Wagon,Automatic,I4
Audi,B7 S4,4WD/AWD,Sedan,Manual,V8
Audi,B7 RS4,4WD/AWD,Sedan,Manual,V8
Audi,B7 RS4,4WD/AWD,Convertible,Manual,V8
Nissan,350Z,Rear-wheel drive,Coupe,Manual,V6
Bentley,Azure,Rear-wheel drive,Convertible,Automatic,V8
Vantage Vehicle International,Extended Cab Truck,Rear-wheel drive,Truck,Automatic,Electric
Saab,9-3,Front-wheel drive,Sedan,Automatic,V6
Kia,Amanti,Front-wheel drive,Sedan,Automatic,V6
Toyota,Camry,Front-wheel drive,Convertible,Automatic,V6
Hummer,H3,4WD/AWD,SUV/Crossover,Automatic,V8
Saab,9-3,Front-wheel drive,Wagon,Manual,I4
Toyota,Prius,Front-wheel drive,Hatchback,Automatic,I4
BMW,Z4,Rear-wheel drive,Coupe,Automatic,I6
Mercedes-Benz,CLK AMG,Rear-wheel drive,Coupe,Automatic,V8
Lotus,Exige,Rear-wheel drive,Coupe,Manual,I4
BMW,E60 M5,Rear-wheel drive,Sedan,Manual,V10
Audi,B7 S4,4WD/AWD,Wagon,Manual,V8
Audi,A4,4WD/AWD,Sedan,Manual,V6
Chevrolet,Trailblazer,4WD/AWD,SUV/Crossover,Automatic,V8
Volkswagen,Mk5 GTI,Front-wheel drive,Hatchback,Manual,I4
Toyota,4Runner,4WD/AWD,SUV/Crossover,Automatic,V8
Cadillac,XLR,Rear-wheel drive,Convertible,Automatic,V8
Volkswagen,Beetle,Front-wheel drive,Hatchback,Automatic,I5
Buick,Enclave,4WD/AWD,SUV/Crossover,Automatic,V6
Volvo,C70,Front-wheel drive,Convertible,Manual,I5
Jaguar,S-Type,Rear-wheel drive,Sedan,Automatic,V6
Lamborghini,Gallardo,4WD/AWD,Convertible,Manual,V10
Acura,TL,Front-wheel drive,Sedan,Manual,V6
Nissan,Xterra,Rear-wheel drive,SUV/Crossover,Manual,V6
Dodge,Caliber,Front-wheel drive,Hatchback,Manual,I4
Infiniti,M45,Rear-wheel drive,Sedan,Automatic,V8
Mercedes-Benz,CL-Class,Rear-wheel drive,Coupe,Automatic,V12
Audi,B7 S4,4WD/AWD,Wagon,Automatic,V8
Lamborghini,Murcielago,4WD/AWD,Convertible,Automatic,V12
Audi,TT,4WD/AWD,Convertible,Automatic,V6
Land Rover,LR3,4WD/AWD,SUV/Crossover,Automatic,V8
Saab,9-3,Front-wheel drive,Wagon,Automatic,V6
Volkswagen,Touareg,4WD/AWD,SUV/Crossover,Automatic,V10
Saab,9-3,4WD/AWD,Sedan,Manual,V6
Saturn,Sky,Rear-wheel drive,Convertible,Automatic,I4
Audi,B7 S4,4WD/AWD,Sedan,Automatic,V8
Dodge,Ram,4WD/AWD,Truck,Manual,V8
Saab,9-3,Front-wheel drive,Convertible,Manual,I4
Saab,9-3,Front-wheel drive,Sedan,Manual,V6
Dodge,Magnum,Rear-wheel drive,Wagon,Automatic,V8
Nissan,350Z,Rear-wheel drive,Convertible,Automatic,V6
Cadillac,XLR-V,Rear-wheel drive,Convertible,Automatic,V8
Audi,B7 S4,4WD/AWD,Convertible,Manual,V8
BMW,E63/E64 M6,Rear-wheel drive,Coupe,Manual,V10
Hummer,H2,4WD/AWD,SUV/Crossover,Automatic,V8
Freightliner,Sportchassis,4WD/AWD,Truck,Automatic,I6
Audi,TT,4WD/AWD,Coupe,Manual,V6
Lexus,RX,4WD/AWD,SUV/Crossover,Automatic,V6
International,MXT,4WD/AWD,Truck,Automatic,V8
Mercedes-Benz,CL-Class,Rear-wheel drive,Coupe,Automatic,V8
Chrysler,Aspen,4WD/AWD,SUV/Crossover,Automatic,V8
Volkswagen,Passat,Front-wheel drive,Wagon,Manual,I4
Saab,9-3,Front-wheel drive,Wagon,Manual,V6
Ford,Explorer,4WD/AWD,Truck,Automatic,V6
Honda,Element,Front-wheel drive,SUV/Crossover,Manual,I4
Mercedes-Benz,R-Class,4WD/AWD,Van/Minivan,Automatic,V6
Mercedes-Benz,CLK AMG,Rear-wheel drive,Convertible,Automatic,V8
Volkswagen,Passat,4WD/AWD,Wagon,Automatic,V6
Dodge,Ram,Rear-wheel drive,Truck,Automatic,I6
Ford,Explorer,Rear-wheel drive,Truck,Automatic,V8
Audi,B7 S4,4WD/AWD,Convertible,Automatic,V8
Chevrolet,Kodiak,Rear-wheel drive,Truck,Automatic,V8
Jaguar,XJ8,Rear-wheel drive,Sedan,Automatic,V8
Volkswagen,Touareg,4WD/AWD,SUV/Crossover,Automatic,V8
Porsche,987 Cayman,Rear-wheel drive,Coupe,Manual,Other
Audi,TT,Front-wheel drive,Coupe,Automatic,I4
Ferrari,599,Rear-wheel drive,Coupe,Automatic,V12
Dodge,Sprinter,Rear-wheel drive,Van/Minivan,Automatic,V6
Audi,Q7,4WD/AWD,SUV/Crossover,Automatic,V8
Infiniti,FX35,Rear-wheel drive,SUV/Crossover,Automatic,V8
BMW,3 Series,Rear-wheel drive,Wagon,Manual,V8
Volvo,V50,4WD/AWD,Wagon,Automatic,I5
Mercedes-Benz,R-Class,4WD/AWD,Van/Minivan,Automatic,V8
Audi,B7 RS4,4WD/AWD,Wagon,Manual,V8
Volvo,S60,4WD/AWD,Sedan,Automatic,I5
Infiniti,G35,Rear-wheel drive,Sedan,Manual,V6
Volvo,XC90,4WD/AWD,SUV/Crossover,Automatic,V8
Subaru,WRX,4WD/AWD,Wagon,Manual,H4
Infiniti,G35,Rear-wheel drive,Coupe,Manual,V6
Mercedes-Benz,W211 E55 AMG,Rear-wheel drive,Sedan,Automatic,V8
Mazda,Mazdaspeed 6,4WD/AWD,Sedan,Manual,I4
Mercedes-Benz,R230 SL,Rear-wheel drive,Convertible,Automatic,V12
Chrysler,300,Rear-wheel drive,Convertible,Automatic,V8
Honda,Element,4WD/AWD,SUV/Crossover,Automatic,I4
Lotus,Europa,Rear-wheel drive,Coupe,Manual,I4
